company,rel_performance
AAPL,-32.16107392686827
AMD,-64.38696025437221
AMZN,-23.628772655008206
CSCO,-63.36587917329114
META,63.268127186009636
MSFT,33.15480445151003
NFLX,154.31258267090567
QCOM,-15.510604928458179
SBUX,-32.491407790143185
TSLA,-19.190815580286326
