company,year,month,monthly_pct_change
AMD,2019,12,16.72
AMD,2020,1,16.25
AMD,2020,2,-5.52
AMD,2020,3,0.12
AMD,2020,4,11.87
AMD,2020,5,-2.13
AMD,2020,6,9.97
AMD,2020,7,12.59
AMD,2020,8,32.22
AMD,2020,9,-4.37
AMD,2020,10,7.96
AMD,2020,11,-8.00
AMD,2020,12,23.22
AMD,2021,1,-15.04
AMD,2021,2,-3.27
AMD,2021,3,8.34
AMD,2021,4,-5.85
AMD,2021,5,-10.43
AMD,2021,6,19.08
AMD,2021,7,5.44
AMD,2021,8,23.82
AMD,2021,9,-7.43
AMD,2021,10,6.52
AMD,2021,11,30.77
AMD,2021,12,2.29
AMD,2022,1,-19.64
AMD,2022,2,-10.40
AMD,2022,3,14.02
AMD,2022,4,-26.07
AMD,2022,5,3.33
AMD,2022,6,-3.63
AMD,2022,7,-13.09
AMD,2022,8,33.68
AMD,2022,9,-28.96
AMD,2022,10,-19.56
AMD,2022,11,15.40
AMD,2022,12,-2.18
AMD,2023,1,-1.72
AMD,2023,2,10.97
AMD,2023,3,33.44
AMD,2023,4,-17.08
AMD,2023,5,30.33
AMD,2023,6,10.00
AMD,2023,7,-53.67
AMZN,2013,7,NULL
AMZN,2013,8,110.85
AMZN,2013,9,-4.86
AMZN,2013,10,23.02
AMZN,2013,11,-2.67
AMZN,2013,12,12.67
AMZN,2014,1,0.86
AMZN,2014,2,-18.80
AMZN,2014,3,13.11
AMZN,2014,4,-11.30
AMZN,2014,5,-5.81
AMZN,2014,6,7.13
AMZN,2014,7,9.72
AMZN,2014,8,-8.08
AMZN,2014,9,0.92
AMZN,2014,10,2.26
AMZN,2014,11,-14.64
AMZN,2014,12,12.19
AMZN,2015,1,-10.87
AMZN,2015,2,17.90
AMZN,2015,3,15.66
AMZN,2015,4,0.26
AMZN,2015,5,3.13
AMZN,2015,6,11.47
AMZN,2015,7,10.66
AMZN,2015,8,3.38
AMZN,2015,9,0.48
AMZN,2015,10,13.98
AMZN,2015,11,5.50
AMZN,2015,12,11.94
AMZN,2016,1,-22.44
AMZN,2016,2,-7.07
AMZN,2016,3,18.65
AMZN,2016,4,2.34
AMZN,2016,5,13.67
AMZN,2016,6,7.60
AMZN,2016,7,-5.91
AMZN,2016,8,18.63
